text,label,app,date,char_length,word_count
"saran dr saya sediakan fitur untuk block hp yg tidak di kenal yang mau masuk ke akun biar ga susah ganti ganti pin teruss, biar dia ga bisa login ke akun dana gua lagi, capek njirr udh rugi 500 k",stres,DANA,2026-05-19 19:33:42,195,40
"pernah menggunakan aplikasi ini,smw mmg sesuai yg dipromosikan",netral,Shopee,2026-05-27 21:13:16,62,8
Aplikasi Bejat Banyak Gangguan Sekarang Brengsek !!!!,marah,DANA,2026-05-21 17:30:24,53,7
"ngehe bet perangkat di modif apa apa |ah ,ampe reset pabrik hp tetep aja gitu",marah,OVO,2026-02-17 16:59:36,77,15
"Kesalahan ada di pihak kalian, tetapi saya sebagai konsumen yang harus menanggung kerugian yang disebabkan oleh tim anda. Tidak recommended lagi menggunakan aplikasi ini.",marah,Tokopedia,2026-03-05 16:05:02,170,24
ini saya tup up udah 250 di outlet nya sukses tapi saldo blum masuk ke akun ovo saya error trus nih ovo tolong lah ovo bagai mana kalau keperluan penting trus telat Nerima saldo sangat merugikan pengguna ewalet tau,senang,OVO,2026-01-18 00:36:54,214,39
"jawaban tidak menyeselaikan masalah ,, bundet ,, awal kehancuran perusahaan",marah,Tokopedia,2026-03-11 20:26:49,75,10
"gak lagi2 pake gojek.. , paket di maling driver cs diem aja",stres,Gojek,2026-03-28 17:30:01,59,12
aplikasi online shop sampah,marah,Tokopedia,2026-05-05 20:05:55,27,4
saya merasa puas dengan ovo ini transper dan kirim uang dengan sangat mudah dan aman,senang,OVO,2026-05-29 01:18:48,84,15
"payah sekali ini aplikasi ovo,, tiada guna",marah,OVO,2026-01-22 21:58:10,42,7
pengiriman di luar estimasi tidak sesuai tanggal/telat . tidak bisa mengajukan komplain di aplikasi saya kasih bintang 1,netral,Tokopedia,2026-04-06 09:07:09,120,18
saldo dana tiba tiba hilang saat saya mengajukan refund tidak bisa saya menggunakan dana udah 4 tahun saya kehilangan saldo udah 920 ribu kecewa,sedih,DANA,2026-05-24 22:27:07,144,24
nambah ribet beli di tokopedia. promo tidak berlaku jadi belanja harus tidak pakai promo. si klik biar ga pake promo tetep aja ga bisa. belanja tinggal klik bayar ko ada pemberitahuan oops transaksi tidak bisa d proses. diskon barang sudah tertera dengan sendirinya dan harga yg terpampang di barang juga harga discount yg muncul dengan sendiri. kenapa giliran mau d bayar tinggal klik ko transaksi tidak bisa d proses?? kalau emang ga boleh beli pake diskon mestinya discount ga muncul d layar.,stres,Tokopedia,2026-03-24 10:54:32,495,82
gua WD GK masuk masuk apk tolol ni ovo,marah,OVO,2026-03-11 17:52:52,38,9
"limit ada, tapi gabisa dipakai, anj sekali",netral,DANA,2026-05-20 15:44:30,42,7
kenapa gagal terus update ke premium nya,sedih,OVO,2026-03-04 10:04:23,40,7
"barangya sesuai pesanan,dan cepat datangya.",netral,Shopee,2026-05-22 13:15:36,43,5
Sejauh ini masih memuaskan pelayanannya,senang,Gojek,2026-05-28 13:51:50,39,5
Pas download gk bisa dasar tiktok babi,sedih,TikTok,2023-11-07 13:57:21,38,7
Belanja cepat jualan mantap,senang,Tokopedia,2026-02-06 07:28:06,27,4
"Jujur banget kecewa bgt belanja di nike official yg ada di shopee , padahal labelnya mall ori, tp tidak menjamin kepuasan berbelanja Barang dikirim oleh nike dengan packing seadanya , setelah di komplain dan di balikan atas persetujuan shopee tp PENGEMBALIAN DANA smp detik kni blm diterima padahal barang sudah di kirim kembali, malah nike menolak karena barang pengembalian rusak. padahal barang yg kita kirim sesuai apa yg kita terima PARAH dan ternyata di forum banyak bgt kejadian serupa",netral,Shopee,2026-05-26 23:16:03,492,79
saya sempat ada troble menggunakan Aplikasi OVO Customer Service OVO sangat luar biasa membantu layanan informasi dan membantu pemulihan aplikasi dng sangat baik. fitur menu di OVO juga bagus. pokok OVO kereeen 👍👍❤,senang,OVO,2026-01-29 06:14:17,214,33
kenapa ngg bisa masuk masuk yaa udh di instal tapi pas masuk susah banget knpa ya kaa keluar lagi keluar lagi,stres,Tokopedia,2026-02-08 06:00:44,109,21
sangat puas dengan kinerja dana yang cepat dan sigap untung Terima dan kirim uang...,senang,DANA,2026-05-28 12:36:10,84,14
"lagi buru"" pas mau bayar grab malah lemot buka aplikasi nya sama dan juga saya pakai keamanan sidik jari nah masih lemot aja aduhhh perbaiki dong lebih baik pakai yang lain aja deh gak enak mending shoppe pay aplikasi nya sat set seusai hp saya yang sat set",stres,OVO,2026-05-12 22:39:00,257,48
"Kak dishoppe ada seller yang tidak jujur dan tidak amanah banyak yang dirugikan termasuk saya, saya udah dua kali ketipu beli di shoppe, beli sepatu eagle baru yang dikirim sama seller nya sepatu bekas lumpur Mulu, tidak sesuai gambar lain merek nya malah yang dikirim Adidas samba KW bekas dipakai lagi...seller tidak jujur dan tidak amanah merusak shoppe, saya jadi takut kalau mau beli Online...",sedih,Shopee,2026-05-25 15:08:29,398,65
"entah kenapa makin kesini pengiriman SPX semakin lamban, estimasi pengiriman yg biasanya reguler 2 hari sdh sampai, sekarang bisa 4 hari, tanggal tiba selalu mundur dari estimasi awal. tolong dong untuk Shopee dan SPX segera dibenahi soal pengirimannya. jadi mulai ragu belanja di aplikasi shopee Krn estimasi gak pernah jelas.",netral,Shopee,2026-05-16 22:27:26,327,50
lebih di tingkatkan lagi kualitas produk supliernya dan tetap menjadi brand market yang tetap hight class 👍👍👍🙏,stres,Shopee,2026-05-26 13:31:57,110,17
Tiktok kerenn abizz,senang,TikTok,2023-03-08 04:30:46,19,3
"MENURUT SAYA TOKOPEDIA MENGECEWAKAN, SAYA SAMPAI TF BIAR BISA BELI KARNA GAK BISA COD MALAH GAK DIKIRIM-KIRIM PAKETNYA, UANG SAYA JUGA JADI HANGUS LAH, HUFF GAK TERIMA SAYA, SOALNYA UANG NYA GAK BISA DI TARIK KEMBALI, MENYESATKAN, MENYESAL SAYA !!",marah,Tokopedia,2026-03-14 16:32:03,247,40
"Selamat saya menggunakan aplikasi ini, respon driver baik dan memenuhi ekspektasi. sebagai saran, mohon pastikan agar pendapatan driver tidak terpotong/berkurang oleh adanya promo dan diskon, dan pastikan driver tetap mendapatkan insentif sesuai nilai promo yang digunakan, karena kesejahteraan mitra sangat penting untuk keberlangsungan operasional.",netral,Gojek,2026-03-26 15:09:55,350,44
bagus banget saling menguntungkan.,senang,DANA,2026-05-25 23:33:03,34,4
"ni aplikasi berat banget dah padahal sinyal dan bagus buka aplikasi lain lancar ga ada masalah sama jaringan, tapi kalo buka shopee leletnya minta ampun ""menghubungkan"" terus kalo buka beberapa fitur, ngerjain task seperti ""lihat warung 30 detik untuk mendapatkan koin"" tapi pas udh selesai 30 detik koinnya ga masuk 🙄🙄 ga mungkin kan salah sinyalku wong buat aplikasi lain aja lancar cuma shopee yang bermasalah",stres,Shopee,2026-05-25 22:39:47,412,66
apk yg sangat mengecewakan,marah,OVO,2026-05-07 10:37:07,26,4
Gk bagus banget app ini Masah Sih akun saya di blokir kan saya gk ngapa ngapain saya kesel banget saya udah daftar berkali Kali Tapi gk Ada hasil nia mohon di perbaiki app ini Karna saya Juga ingin bermain Tik Tok Seperti orang lain Juga💔💔💔💔💔,marah,TikTok,2022-08-19 17:55:31,242,45
"heyy ini saya top up ovo. saldo nya larinya kok ke ovo nabung? di saldo ovo nya sndiri ga bertambah. malah bisa ngeliatnya cm klo download super bank. COSTUMER TOP UP KE OVO , jangan asal2an pindahin dana costumer ya. saya lapor ojk nnti.",sedih,OVO,2026-04-28 06:32:13,238,44
bagus banget min jujur cepat,senang,DANA,2026-05-29 14:18:25,28,5
nyedot saldo gopay saya mulu padahal gak ngapa ngapain ga melakukan transaksi apapun tiap ngisi saldo gopay pasti kesedot dari tokopedia udah tutup aja aplikasinya mengecewakan udah habis banyak saldo saya yg disedot tiba tiba,marah,Tokopedia,2026-04-28 15:04:44,226,35
"sangat tidak nyaman menggunakan aplikasi ini. stop proses review dana gak jelas kalian, apalagi terhadap customer (pembeli). dan mekanismenya sangat menyebalkan, menunggu dana refund 2×24 jam, saat mau menarik saldo pun masih harus review 1 sampai 2×24 jam. sungguh bodoh. jika review dilakukan terhadap seller, affiliate, atau lainnya yang memiliki ikatan kerjasama dalam bentuk apapun, ya wajar karena menyangkut kredibilitas platform. tapi, dana customer? jangan main-mainlah, bodoh.",marah,Tokopedia,2025-12-28 14:44:47,486,67
"beli barang sama di toko yg sama. selisih harga nya lumayan jauh, di apk oren harganya lebih murah jauh... pas retur barang juga lebih mudah di apk oren. barang d kirim duit langsung cair. klo d sini mah nunggu berhari hari, bahkan sampe sminggu lebih baru bisa cair. dan itu pun masih selalu berat ke penjual yg nipu. skrg buka tokped cuma buat beli token lstrik pas lg ada kupon diskon aja. mana tiap bulan minta update trus",netral,Tokopedia,2026-03-15 11:53:10,426,78
"ngak bisa batalin pesanan makanan, dan ngak bisa chat penjual buat batalin, mungkin aku kurang tau systemnya tapi kesel banget, akhhhhhhhh.......",marah,Gojek,2026-04-25 20:33:59,145,21
aplikasi paling ngeri paling jelek bisa di tembuhan pertahanan nya saran gua jgn dah pakai aplikasi ini mending beralih ke ovo saya atasa nama pribadi cukup saya kadi korban jgn samapai orang lain,netral,DANA,2026-05-26 19:15:17,196,33
"oke sih aplikasinya tapiii saat mainn game iklan nya terlalu maksa jadi gasuka sama aplikasi nya, tolong kalo buat iklan shopee di game jangan terlalu maksa",netral,Shopee,2026-05-28 15:11:34,156,26
HAPUS KURIR SPX EXPRESS Paket gagal kirim keseringan,sedih,Shopee,2026-05-19 00:28:19,52,8
"aplikasi nya bagus... cuman terkendala barang tidak sesuai, prosedur return nya cukup memakan waktu lama... kelamaan investigasi, mohon di tindak tegas penjual2 tidak jujur... kasih skorsing atau apalah namanya, agar tidak merugikan masyarakat.",netral,Tokopedia,2026-01-27 14:05:17,244,33
"tidak bisa login alasan tidak jelas,semakin kesini semakin hancur aplikasi OVO",marah,OVO,2026-05-02 10:51:06,78,11
"sistem sampah gabisa hubungi resto itu sistem terjelek, ga bisa cancel makanan karna udah keambil resto. gw salah alamat, biasa app langsung ganti alamat pengantaran ini engga. sialan 50k ilang gitu aja.",marah,Gojek,2026-04-01 08:32:04,203,32
"Coba pakai opsi hemat karena emang gak lagi buru buru, tapi estimasinya berubah jadi telat, sampai sejam lebih saya tunggu, ternyata dibatalkan sama gojek dengan alasan driver sibuk. Kalau memang gak mau menyediakan ongkir hemat, jangan disediakan fiturnya! Saya nunggu lama hanya untuk pesan ulang saja, gimana sih gojek. Padahal saya pengguna setia sejak tahun 2020 an, kecewa.",sedih,Gojek,2026-05-16 19:53:53,379,58
aplikasi payah ngirim duet udh 5 hari gw sampek2,marah,OVO,2026-05-04 09:36:12,48,9
sekarang tiktok ga sebagus waktu saya pertama instal terlalu banyak bug... terlalu banyak banned... padahal tidak melanggar panduan komunitas,stres,TikTok,2025-07-15 09:48:10,141,19
kecewa pakai Toped mending aplikasi sebelah toko oren,sedih,Tokopedia,2026-04-30 15:15:33,53,8
oke baik josss,netral,Gojek,2026-05-04 08:51:54,14,3
iya karwna pernyataan bagus kualitas bagus gak ngelek lagi terima kasih melayani kita dengan baik barang barangnya,senang,Tokopedia,2026-02-23 18:40:41,114,17
"begini susahnya belanja di Tokopedia. kesalahan server Mulu, dah berbulan² gak ada perbaikan, tenaga ahlinya pada ngapain sih...",marah,Tokopedia,2026-01-17 10:44:03,128,18
aplikasi tokopedia sllu asli barangnya dan sellu sesuai sperti kita pesan,netral,Tokopedia,2026-01-23 15:14:07,73,11
Pengen kembali lagi tiktok aku yg lama,stres,TikTok,2024-05-17 10:59:30,38,7
wow gojek luar biasa dlm pelayanan,senang,Gojek,2026-05-08 17:45:02,34,6
"harusnya yang keluar saat pencarian tuh yang paling relate ya. Paling aneh diantara apk Oren dan Biru ya toped ini, masa cari yong ma low carbo yang keluar banyak harga gak wajarnya, dibawah harga banget. bedain seller yang trusted sama yang abal2 juga kurang informatif sih. semoga lebih memudahkan pembeli yaa, sama ongkirnya pelit bangeeett",netral,Tokopedia,2025-12-26 01:16:09,343,55
mau ganti nomer hp yang hilang dan akun Gmail nya kehapus gak bisa daftar log in lagi ke nomer baru,stres,OVO,2026-02-20 02:33:25,99,20
"Semua jenis Pelayanan baik Driver, Blanja Makan Minum juga saat di Kota yang SDH tersedia Belanja Super Marketnya, Sangat Memuaskan. Tingkatkan terus Inovasinya...",senang,Gojek,2026-05-20 16:37:59,163,23
Bajuz...tingkatkan lagi Min👍👍,stres,DANA,2026-05-25 21:27:15,29,3
dana cicil tidak bisa di pakai sudah ada limit tapi tidak bisa di pakai payah,marah,DANA,2026-05-17 23:53:25,77,15
"katanya pelayanan nya cepat tapi mana? ko belum ada balasan dan perbaikan, tolong ya ini saya gabisa verifikasi trus padahal udah bener semua sinyal pun lancar aneh banget, kalo masih belum ada perbaikan kecewa saya. nyesel pake e wallet ovo ini",sedih,OVO,2026-05-26 17:48:45,245,41
"barang sudah Terim a, sesuai pesanan, mantaap",netral,Shopee,2026-05-18 21:56:18,45,7
"percuma daftar member PLUS Mahal2.. vocer hariannya gx bisa di pake, hanya claim saja bisa, tp tidak berguna. gx usah daftar PLUS. RUGI Ambyarrrr.... Gx ada notifikasi.. tau 2 ovo point hilang 140rb... Cek di ovo ada pembelian di tokopedia.. Lah cek di Tokopedia tidak ada transaksi yg 140rb...",sedih,Tokopedia,2026-02-01 23:42:05,294,49
"sementara saya bintang 1 dulu, status pembayaran berhasil tapi merchant belum menerima, pembayaran melalui qris, status RRN tidak ada, kembalikan uang saya,",senang,OVO,2026-01-13 14:09:02,156,22
"ancur nih aplikasi,,selalu gagal mulu tf ke rekening bank lain,,,",marah,OVO,2026-03-09 15:59:45,65,10
Shope VIP di tambah lagi bonus gratis ongkir dan potongannya biar makin hot shopee,stres,Shopee,2026-05-29 18:52:26,82,14
Dana yg terbaik,senang,DANA,2026-05-22 19:47:40,15,3
mau pinjam spinjam aja susah padahal rekening orang tua mana orang tua gw lagi butuh pinjaman aplikasi sampah cuma karena rekening orang tua malah digagalin terus gw pake aplikasi lain ajalah males belanja lagi di aplikasi ini gak tau lazada ada sistem pinjem juga apa gak,marah,Shopee,2026-05-23 06:57:09,272,46
aplikasi jeles banyak bug nya,stres,OVO,2026-04-29 18:41:42,29,5
"Scan Qris biasanya bisa, terakhir gagal mulu. edan!!!",sedih,OVO,2026-04-20 20:00:57,53,8
"aplikasi buruk transfer 3,5juta pending 2hari, contact customer service malah nipu ngasih akun diakses dan diblokir sangat sangat mengecewakan 🫵🏻",marah,OVO,2026-03-03 13:38:42,145,20
"padahal pengguna baru tp pas mau checkout tiba² voucher nya hilang dn gabisa dipakai, payah.",marah,Tokopedia,2025-12-25 21:29:16,92,15
bayar pake apa aja bisa...praktis dan muda di mengerti.. terima kasih banyak dana memudahkan kami untuk membayar segala bentuk pembayaran,senang,DANA,2026-05-25 14:48:03,137,20
DANA menolak pembayaran Anda. Periksa kembali akun DANA Anda atau pilih metode pembayaran lain. Pelajari lebih lanjut. [OR-PFGVEM-55] Segala pembayaran Ditolak kecuali Pembelian dari Telkomsel. tolol scan qr anj,marah,DANA,2026-05-29 20:23:25,211,29
"Makin parah nih aplikasi, mau bayar TV cable, PDAM, Listrik semua pada error, dan jawaban yg ada cuma ini hanya sementara, hampir setiap hari jawabannya seperti itu, makin hancur aja nih OVO, makin di update makin parah errornya",marah,OVO,2026-04-27 22:08:33,228,38
"saya tetap pakai ovo,,,,mantap lah",senang,OVO,2026-02-03 19:10:34,34,5
blanja di shopi mau cari apa aja ada barangnya tinggal pilih yang ori banyak yang kwe juga banyak sesuai keinginan,netral,Shopee,2026-05-18 21:01:10,114,20
"sukaa banget sama apk ini,sejak ad shoppe mau belanja on lebih gmpng,trs jga srng ad promo tiap bulan,dan apk ini memudahkan semua brng yg kita carii,ayoo download skrng! pokonya apk ny bagus.",sedih,Shopee,2026-05-28 09:08:50,192,32
"banned aja ni aplikasi...aplikasi sampah,makin gak jelas",marah,DANA,2026-05-27 10:02:34,56,7
lumayan murah dan berkualitas banyak diskon dan gratis ongkir,netral,Shopee,2026-05-20 21:47:01,61,9
"banyak selller nonaktif dibiarkan, beberapa kali checkout ga dikirim akhirnya batal, percuma ngasih voucher kalo ujung²nya batal pesanannya",senang,Tokopedia,2026-03-05 12:58:54,139,18
layanan ekpedisi GTL Logistik by Tokopedia tuh lelet bgtttt,stres,Tokopedia,2026-02-03 07:46:38,59,9
"jangan bnyak fitur yang ga guna plis udah 2026 bikin ui yang simple clean gitu lah ga semua fitur dibikin, bikin lag anj",stres,Shopee,2026-05-24 21:05:34,120,23
"transfer lama.. gak kayak dulu, mana gak bisa kirim ke e-wallet lain.. apk sampah",marah,OVO,2026-05-26 22:28:10,81,14
harganya jadi normal waktu dipesan gila ini aplikasi,netral,Tokopedia,2026-04-14 09:36:31,52,8
"aplikasi sampah,, kalo mang gangguan atau tidak bisa proses transaksi ya udah batalin otomatis aja balikin dana ke saldo ovo. jangan transaksi pending, dah bgtu harus nunggu 2 hari kerja.. harus nunggu sampe 5 hari dl kalo kejebak weekend kan tolol ni aplikasi.",marah,OVO,2026-05-13 23:08:57,261,43
"Sangat susah sekali nentuin titiknya , payah.",marah,Gojek,2026-05-29 16:55:30,45,7
Banyak notif tapi di beli diskonnya jadi normal ngakak lihatnya,netral,Tokopedia,2026-05-17 15:05:07,63,10
"Saya pesan barang diTokopedia sudah berhari² tidak update status paketnya btw pakai JNE super lemot bgt, cs Tokopedia hanya menggunakan bot tidak bisa bantu follow up ke jasa kirim itu paketnya tidak knjung sampai, csnya tidak bisa membantu menyelesaikan maslah tidak memberikan solusi yang bagus untuk pelanggan, alih² menyelesaikan masalah malah kasih artikel doang, cs botnya ga guna, tlong perbaiki sistemnya agar pengguna lebih nyaman. Btw saya psan di pert. Des. 2025 sampai Jan. 2026 blm dtg.",stres,Tokopedia,2026-01-03 07:44:48,499,77
aplikasi sering bermasalah tidak bisa untuk pembayaran online terimakasih,senang,OVO,2026-02-14 17:53:17,73,9
Mantap selalu barangnya.,senang,Tokopedia,2026-05-23 17:13:28,24,3
"mau upgrade saja ribet gk bisa bisa, uang tertahan gk bisa ditransfer, mau masuk log in lagi gk bisa2, mau reset kode pin gk bisa, parah. Untuk pengalaman yang lain lebih baik pake aplikasi yg lain saja. karena setelah trlfon CS juga tidak membantu",stres,OVO,2026-04-19 08:50:00,248,44
sangat membantu dalam transaksi sehari hari namun sayang nya di dana saya masih belum terdapat dana cicil meskipun saya sudah lama menggunakan dana,senang,DANA,2026-05-19 18:46:51,147,23
sayang payler saya belum bisa dipakai,netral,OVO,2026-04-30 08:01:50,37,6
Tidak bisa di download,sedih,TikTok,2023-02-24 10:13:19,22,4
sangat puas pelayanan kurir dari shopee,senang,Shopee,2026-05-29 11:19:22,39,6
"lumayan ,tapi terlalu sering update",netral,OVO,2026-02-24 08:38:51,35,5
Alhamdulillah Tokopedia memang sip,senang,Tokopedia,2026-02-21 15:39:29,34,4
"Kenapa skrg freeong dan cashback nya harus pakai shopeepay? karna ga semua orang mau pakai shopeepay. Over all saya suka semua di shoopee, gampang dan ga ribet. Kedepan nya saya harap shopee dapat memilah² penjual yg bekerja sama dg shopee.. JANGAN SAMPAI FOTO DAN JUDUL PRODUK ITU BERBEDA DENGAN DESKRIPSI . kasian kalau ada yg buru² order, sehingga lupa baca despripsi, jadi merasa TERTIPU.. sedangkan saya sudah dri 2015 menggunakan shopee aman. Baru sekali ini begini.. kesal saya.. rugi besar..",marah,Shopee,2026-05-16 22:54:36,499,80
lumayan belanja di Tokopedia,netral,Tokopedia,2026-04-02 21:54:09,28,4
sukses selalu untuk Tokopedia,senang,Tokopedia,2026-02-03 06:05:53,29,4
"pusing ni apk. pin udah bener malah salah sampe di blokir 1 jam, bikin males lah padahal udah top up gimana si",stres,OVO,2026-05-02 21:15:08,110,22
diskon sering tiba-tiba ilang jd balik harga normal pas bayar,netral,Gojek,2026-03-28 11:58:13,61,10
ini apa sih kenapa ga bisa dibuka.. tolol,marah,OVO,2026-02-13 08:51:08,41,8
Tolong buat admin di tingkatkan server jaringan nya sangat buruk upload sangat susah gagal2 terus..,sedih,Tokopedia,2026-04-11 20:20:14,99,15
